año-mes,NUEVO,RECLAMO,REINGRESO
2021-03,84.9,15.1,0.0
2021-04,73.9,17.4,8.7
2021-05,100.0,0.0,0.0
2021-06,92.5,5.0,2.5
2021-07,100.0,0.0,0.0
2021-08,84.1,4.5,11.4
2021-09,92.5,0.0,7.5
2021-10,95.5,2.3,2.3
2021-11,82.1,0.0,17.9
2021-12,89.8,2.0,8.2
2022-01,95.6,0.0,4.4
2022-02,93.8,0.0,6.2
2022-03,75.4,0.0,24.6
2022-04,83.3,2.4,14.3
2022-05,93.0,0.0,7.0
2022-06,90.2,0.0,9.8
2022-07,82.4,14.7,2.9
2022-08,96.9,3.1,0.0
2022-09,96.3,0.0,3.7
2022-10,82.5,5.0,12.5
2022-11,87.9,6.1,6.1
2022-12,93.1,0.0,6.9
2023-01,91.7,4.2,4.2
2023-02,96.3,0.0,3.7
2023-03,77.1,0.0,22.9
2023-04,91.9,2.7,5.4
2023-05,93.1,0.0,6.9
2023-06,97.6,0.0,2.4
2023-07,81.1,3.8,15.1
2023-08,92.9,0.0,7.1
2023-09,89.5,10.5,0.0
2023-10,85.7,0.0,14.3
2023-11,92.9,0.0,7.1
2023-12,90.9,0.0,9.1
2024-01,89.3,7.1,3.6
2024-02,83.9,0.0,16.1
2024-03,100.0,0.0,0.0
2024-04,87.1,0.0,12.9
2024-05,88.0,0.0,12.0
2024-06,92.3,3.8,3.8
2024-07,84.2,15.8,0.0
2024-08,100.0,0.0,0.0
2024-09,96.3,0.0,3.7
2024-10,93.9,0.0,6.1
2024-11,100.0,0.0,0.0
2024-12,100.0,0.0,0.0
2025-01,100.0,0.0,0.0
