año-mes,NOT Hydraulic Cylinders Projects,NUEVO,RECLAMO,REINGRESO
2021-03,27,25,2.0,0.0
2021-04,26,25,0.0,1.0
2021-05,25,23,1.0,1.0
2021-06,25,22,0.0,3.0
2021-07,31,29,0.0,2.0
2021-08,46,43,1.0,2.0
2021-09,66,65,0.0,1.0
2021-10,44,43,0.0,1.0
2021-11,28,25,1.0,2.0
2021-12,23,21,0.0,2.0
2022-01,37,37,0.0,0.0
2022-02,18,16,0.0,2.0
2022-03,34,32,1.0,1.0
2022-04,32,28,2.0,2.0
2022-05,31,30,1.0,0.0
2022-06,30,30,0.0,0.0
2022-07,40,37,2.0,1.0
2022-08,18,18,0.0,0.0
2022-09,53,51,1.0,1.0
2022-10,26,25,0.0,1.0
2022-11,53,50,1.0,2.0
2022-12,29,29,0.0,0.0
2023-01,38,34,2.0,2.0
2023-02,36,36,0.0,0.0
2023-03,38,37,0.0,1.0
2023-04,29,29,0.0,0.0
2023-05,73,71,2.0,0.0
2023-06,45,45,0.0,0.0
2023-07,43,41,0.0,2.0
2023-08,32,30,0.0,2.0
2023-09,35,33,0.0,2.0
2023-10,38,35,1.0,2.0
2023-11,15,15,0.0,0.0
2023-12,38,38,0.0,0.0
2024-01,32,26,2.0,4.0
2024-02,14,13,0.0,1.0
2024-03,28,23,3.0,2.0
2024-04,38,38,0.0,0.0
2024-05,18,18,0.0,0.0
2024-06,28,27,1.0,0.0
2024-07,23,23,0.0,0.0
2024-08,21,21,0.0,0.0
2024-09,27,27,0.0,0.0
2024-10,34,34,0.0,0.0
2024-11,27,27,0.0,0.0
2024-12,34,34,0.0,0.0
2025-01,20,20,0.0,0.0
