año-mes,ALL Projects,NUEVO,RECLAMO,REINGRESO
2021-03,80,70,10.0,0.0
2021-04,49,42,4.0,3.0
2021-05,43,41,1.0,1.0
2021-06,65,59,2.0,4.0
2021-07,59,57,0.0,2.0
2021-08,90,80,3.0,7.0
2021-09,106,102,0.0,4.0
2021-10,88,85,1.0,2.0
2021-11,56,48,1.0,7.0
2021-12,72,65,1.0,6.0
2022-01,82,80,0.0,2.0
2022-02,34,31,0.0,3.0
2022-03,91,75,1.0,15.0
2022-04,74,63,3.0,8.0
2022-05,74,70,1.0,3.0
2022-06,71,67,0.0,4.0
2022-07,74,65,7.0,2.0
2022-08,50,49,1.0,0.0
2022-09,80,77,1.0,2.0
2022-10,66,58,2.0,6.0
2022-11,86,79,3.0,4.0
2022-12,58,56,0.0,2.0
2023-01,62,56,3.0,3.0
2023-02,63,62,0.0,1.0
2023-03,73,64,0.0,9.0
2023-04,66,63,1.0,2.0
2023-05,102,98,2.0,2.0
2023-06,86,85,0.0,1.0
2023-07,96,84,2.0,10.0
2023-08,74,69,0.0,5.0
2023-09,54,50,2.0,2.0
2023-10,73,65,1.0,7.0
2023-11,29,28,0.0,1.0
2023-12,71,68,0.0,3.0
2024-01,60,51,4.0,5.0
2024-02,45,39,0.0,6.0
2024-03,60,55,3.0,2.0
2024-04,69,65,0.0,4.0
2024-05,43,40,0.0,3.0
2024-06,54,51,2.0,1.0
2024-07,42,39,3.0,0.0
2024-08,32,32,0.0,0.0
2024-09,54,53,0.0,1.0
2024-10,67,65,0.0,2.0
2024-11,46,46,0.0,0.0
2024-12,49,49,0.0,0.0
2025-01,35,35,0.0,0.0
